org_node_id,parent_org_node_id,node_type,node_name,ref_id,path
ORG_SEC_central_services_corporate_wellness_specialist_SITE_balikpapan,ORG_SEC_central_services_corporate_wellness_specialist,site,Balikpapan,SITE_balikpapan,HERO > Central Services > Corporate Wellness Specialist > Balikpapan
ORG_SEC_central_services_corporate_wellness_specialist_SITE_balikpapan_WORK_repair___retread___balikpapan,ORG_SEC_central_services_corporate_wellness_specialist_SITE_balikpapan,work_location,Repair & Retread - Balikpapan,WORK_repair___retread___balikpapan,HERO > Central Services > Corporate Wellness Specialist > Balikpapan > Repair & Retread - Balikpapan
ORG_SEC_central_services_product_accessories,ORG_DEPT_central_services,section,Product Accessories,SEC_central_services_product_accessories,HERO > Central Services > Product Accessories
ORG_SEC_central_services_product_accessories_SITE_balikpapan,ORG_SEC_central_services_product_accessories,site,Balikpapan,SITE_balikpapan,HERO > Central Services > Product Accessories > Balikpapan
ORG_SEC_central_services_product_accessories_SITE_balikpapan_WORK_pa___balikpapan,ORG_SEC_central_services_product_accessories_SITE_balikpapan,work_location,PA - Balikpapan,WORK_pa___balikpapan,HERO > Central Services > Product Accessories > Balikpapan > PA - Balikpapan
ORG_SEC_central_services_product_accessories_SITE_balikpapan_WORK_service_operation___balikpapan,ORG_SEC_central_services_product_accessories_SITE_balikpapan,work_location,Service Operation - Balikpapan,WORK_service_operation___balikpapan,HERO > Central Services > Product Accessories > Balikpapan > Service Operation - Balikpapan
ORG_SEC_central_services_repair___retread_operation,ORG_DEPT_central_services,section,Repair / Retread Operation,SEC_central_services_repair___retread_operation,HERO > Central Services > Repair / Retread Operation
ORG_SEC_central_services_repair___retread_operation_SITE_amm_mifa_holing,ORG_SEC_central_services_repair___retread_operation,site,AMM Mifa Holing,SITE_amm_mifa_holing,HERO > Central Services > Repair / Retread Operation > AMM Mifa Holing
ORG_SEC_central_services_repair___retread_operation_SITE_amm_mifa_holing_WORK_repair___retread___amm_mifa_holing,ORG_SEC_central_services_repair___retread_operation_SITE_amm_mifa_holing,work_location,Repair & Retread - AMM Mifa Holing,WORK_repair___retread___amm_mifa_holing,HERO > Central Services > Repair / Retread Operation > AMM Mifa Holing > Repair & Retread - AMM Mifa Holing
ORG_SEC_central_services_repair___retread_operation_SITE_balikpapan,ORG_SEC_central_services_repair___retread_operation,site,Balikpapan,SITE_balikpapan,HERO > Central Services > Repair / Retread Operation > Balikpapan
